"","Date","Date_Exposed","DAE","Pool","Pool_Endo","Group","Endophyte","Distance","Plant","Leaf","Dam","Rhiz","Coll","Pucc","Sept"
"214","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,290,4,"ND",0,0,0,0
"215","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,290,5,"ND",0,0,0,0
"216","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,290,6,"ND",0,0,0,0
"217","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,290,7,"ND",0,0,0,0
"218","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,157,1,"ND",0,0,0,0
"219","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,157,2,"ND",0,0,0,0
"220","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,157,3,"ND",0,0,0,0
"221","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,157,4,"ND",0,0,0,0
"222","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,157,5,"ND",0,0,0,0
"223","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,157,6,"ND",0,0,0,0
"224","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,157,7,"ND",0,0,0,0
"225","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,133,1,"D",1,0,0,0
"226","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,133,2,"ND",0,0,0,0
"227","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,133,3,"ND",0,0,0,0
"228","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,133,4,"ND",0,0,0,0
"229","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,133,5,"ND",0,0,0,0
"230","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,133,6,"ND",0,0,0,0
"231","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,133,7,"ND",0,0,0,0
"232","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",24,205,1,"D",1,0,0,0
"233","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",24,205,2,"ND",0,0,0,0
"234","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",24,205,3,"ND",0,0,0,0
"235","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",24,205,4,"ND",0,0,0,0
"236","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",24,205,5,"ND",0,0,0,0
"237","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",24,205,6,"ND",0,0,0,0
"238","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",24,205,7,"ND",0,0,0,0
"239","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,145,1,"D",1,0,0,0
"240","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,145,2,"D",1,0,0,0
"241","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,145,3,"D",1,0,0,0
"242","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,145,4,"ND",0,0,0,0
"243","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,145,5,"ND",0,0,0,0
"244","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,145,6,"ND",0,0,0,0
"245","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",24,145,7,"ND",0,0,0,0
"246","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,240,1,"ND",0,0,0,0
"247","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,240,2,"ND",0,0,0,0
"248","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,240,3,"ND",0,0,0,0
